[zipcode=]충북 제천시 강제동 강저휴먼시아2단지아파트 (201∼205동) 49800 ]
[zipcode=]충북 제천시 강제동 강저휴먼시아3단지아파트 (301∼309동) 49801 ]
[zipcode=]충북 제천시 강제동  49802 ]
[zipcode=]충북 충주시 소태면 야동리  50622 ]
[zipcode=]충북 충주시 소태면 야촌리  50623 ]
[zipcode=]충북 충주시 소태면 양촌리  50624 ]
[zipcode=]충북 충주시 소태면 오량리  50625 ]
[zipcode=]충북 충주시 소태면 외촌리  50626 ]
[zipcode=]충북 충주시 소태면 은대리  50627 ]
[zipcode=]충북 충주시 소태면 주치리  50628 ]
[zipcode=]충북 충주시 소태면 중청리  50629 ]
[zipcode=]충북 충주시 소태면 하남리  50630 ]
[zipcode=]충북 충주시 소태면  50631 ]
[zipcode=]충북 충주시 수안보면 중앙경찰학교  50632 ]
[zipcode=]충북 충주시 수안보면 고운리  50633 ]
[zipcode=]충북 충주시 수안보면 미륵리  50634 ]
[zipcode=]충북 충주시 수안보면 사문리  50635 ]
[zipcode=]충북 충주시 수안보면 수회리  50636 ]
[zipcode=]충북 충주시 수안보면 안보리  50637 ]
[zipcode=]충북 충주시 수안보면 온천1리  50638 ]
[zipcode=]충북 충주시 수안보면 온천2리  50639 ]
[zipcode=]충북 충주시 수안보면 온천3리  50640 ]
[zipcode=]충북 충주시 수안보면 온천4리  50641 ]
[zipcode=]충북 충주시 수안보면 온천리  50642 ]
[zipcode=]충북 충주시 수안보면 중산리  50643 ]
[zipcode=]충북 충주시 수안보면 화천리  50644 ]
[zipcode=]충북 충주시 수안보면  50645 ]
[zipcode=]충북 충주시 신니면 견학리  50646 ]
[zipcode=]충북 충주시 신니면 광월리  50647 ]
[zipcode=]충북 충주시 신니면 대화리  50648 ]
[zipcode=]충북 충주시 신니면 마수리  50649 ]
[zipcode=]충북 충주시 신니면 모남리  50650 ]
[zipcode=]충북 충주시 신니면 문락리  50651 ]
[zipcode=]충북 충주시 신니면 문숭리  50652 ]
[zipcode=]충북 충주시 신니면 선당리  50653 ]
[zipcode=]충북 충주시 신니면 송암리  50654 ]
[zipcode=]충북 충주시 신니면 신청리  50655 ]
[zipcode=]충북 충주시 신니면 용원리  50656 ]
[zipcode=]충북 충주시 신니면 원평리  50657 ]
[zipcode=]충북 충주시 신니면 화석리  50658 ]
[zipcode=]충북 충주시 신니면  50659 ]
[zipcode=]충북 충주시 앙성면 강천리  50660 ]
[zipcode=]충북 충주시 앙성면 능암리  50661 ]
[zipcode=]충북 충주시 앙성면 단암리  50662 ]
[zipcode=]충북 충주시 앙성면 돈산리  50663 ]
[zipcode=]충북 충주시 앙성면 마련리  50664 ]
[zipcode=]충북 충주시 앙성면 모점리  50665 ]
[zipcode=]충북 충주시 앙성면 목미리  50666 ]
[zipcode=]충북 충주시 앙성면 본평리  50667 ]
[zipcode=]충북 충주시 앙성면 사미리  50668 ]
[zipcode=]충북 충주시 앙성면 영죽리  50669 ]
[zipcode=]충북 충주시 앙성면 용대리  50670 ]
[zipcode=]충북 충주시 앙성면 용포리  50671 ]
[zipcode=]충북 충주시 앙성면 조천리  50672 ]
[zipcode=]충북 충주시 앙성면 중전리  50673 ]
[zipcode=]충북 충주시 앙성면 지당리  50674 ]
[zipcode=]충북 충주시 앙성면  50675 ]
[zipcode=]충북 충주시 엄정면 가춘리  50676 ]
[zipcode=]충북 충주시 엄정면 괴동리  50677 ]
[zipcode=]충북 충주시 엄정면 논강리  50678 ]
[zipcode=]충북 충주시 엄정면 목계리  50679 ]
[zipcode=]충북 충주시 엄정면 미내리  50680 ]
[zipcode=]충북 충주시 엄정면 신만리  50681 ]
[zipcode=]충북 충주시 엄정면 용산리  50682 ]
[zipcode=]충북 충주시 엄정면 원곡리  50683 ]
[zipcode=]충북 충주시 엄정면 유봉리  50684 ]
[zipcode=]충북 충주시 엄정면 율능리  50685 ]
[zipcode=]충북 충주시 엄정면 추평리  50686 ]
[zipcode=]충북 충주시 엄정면  50687 ]
[zipcode=]충북 충주시 충주우체국사서함  50688 ]
[zipcode=]충북 괴산군 괴산읍 괴산우체국  50689 ]
[zipcode=]충북 괴산군 괴산읍 검승리  50690 ]
[zipcode=]충북 괴산군 괴산읍 금산리  50691 ]
[zipcode=]충북 괴산군 괴산읍 능촌리  50692 ]
[zipcode=]충북 괴산군 괴산읍 대덕리  50693 ]
[zipcode=]충북 괴산군 괴산읍 대사리  50694 ]
[zipcode=]충북 괴산군 괴산읍 동부리 중원대학교  50695 ]
[zipcode=]충북 괴산군 괴산읍 동부리  50696 ]
[zipcode=]충북 괴산군 괴산읍 사창리  50697 ]
[zipcode=]충북 괴산군 괴산읍 서부리  50698 ]
[zipcode=]충북 괴산군 괴산읍 수진리  50699 ]
[zipcode=]충북 괴산군 괴산읍 신기리  50700 ]
[zipcode=]충북 괴산군 괴산읍 신항리  50701 ]
[zipcode=]충북 괴산군 괴산읍 인산리  50702 ]
[zipcode=]충북 괴산군 괴산읍 정용리  50703 ]
[zipcode=]충북 괴산군 괴산읍 제월리  50704 ]
[zipcode=]충북 괴산군 괴산읍  50705 ]
[zipcode=]충북 괴산군 감물면 광전리  50706 ]
[zipcode=]충북 괴산군 감물면 광지실리  50707 ]
[zipcode=]충북 괴산군 감물면 구월리  50708 ]
[zipcode=]충북 괴산군 감물면 매전리  50709 ]
[zipcode=]충북 괴산군 감물면 백양리  50710 ]
[zipcode=]충북 괴산군 감물면 상미전리  50711 ]
[zipcode=]충북 괴산군 감물면 신대리  50712 ]
[zipcode=]충북 괴산군 감물면 오성리  50713 ]
[zipcode=]충북 괴산군 감물면 오창리  50714 ]
[zipcode=]충북 괴산군 감물면 이담리  50715 ]
[zipcode=]충북 괴산군 감물면 하미전리  50716 ]
[zipcode=]충북 괴산군 감물면  50717 ]
[zipcode=]충북 괴산군 문광면 광덕리  50718 ]
[zipcode=]충북 괴산군 문광면 대명리  50719 ]
[zipcode=]충북 괴산군 문광면 문법리  50720 ]
[zipcode=]충북 괴산군 문광면 방성리  50721 ]
[zipcode=]충북 괴산군 문광면 송평리  50722 ]
[zipcode=]충북 괴산군 문광면 신기리  50723 ]
[zipcode=]충북 괴산군 문광면 양곡리 1∼599 50724 ]
[zipcode=]충북 괴산군 문광면 양곡리 600∼1000 50725 ]
[zipcode=]충북 괴산군 문광면 옥성리  50726 ]
[zipcode=]충북 괴산군 문광면 유평리  50727 ]
[zipcode=]충북 괴산군 문광면 흑석리  50728 ]
[zipcode=]충북 괴산군 문광면  50729 ]
[zipcode=]충북 괴산군 불정면 목도리  50730 ]
[zipcode=]충북 괴산군 불정면 삼방리  50731 ]
[zipcode=]충북 괴산군 불정면 세평리  50732 ]
[zipcode=]충북 괴산군 불정면 신흥리  50733 ]
[zipcode=]충북 괴산군 불정면 앵천리  50734 ]
[zipcode=]충북 괴산군 불정면 외령리  50735 ]
[zipcode=]충북 괴산군 불정면 웅동리  50736 ]
[zipcode=]충북 괴산군 불정면 지장리  50737 ]
[zipcode=]충북 괴산군 불정면 창산리  50738 ]
[zipcode=]충북 괴산군 불정면 추산리  50739 ]
[zipcode=]충북 괴산군 불정면 탑촌리  50740 ]
[zipcode=]충북 괴산군 불정면 하문리  50741 ]
[zipcode=]충북 괴산군 불정면  50742 ]
[zipcode=]충북 괴산군 사리면 노송리  50743 ]
[zipcode=]충북 괴산군 사리면 방축리  50744 ]
[zipcode=]충북 괴산군 사리면 사담리  50745 ]
[zipcode=]충북 괴산군 사리면 소매리  50746 ]
[zipcode=]충북 괴산군 사리면 수암리  50747 ]
[zipcode=]충북 괴산군 사리면 이곡리  50748 ]
[zipcode=]충북 괴산군 사리면 중흥리  50749 ]
[zipcode=]충북 괴산군 사리면 화산리  50750 ]
[zipcode=]충북 괴산군 사리면  50751 ]
[zipcode=]충북 괴산군 소수면 고마리  50752 ]
[zipcode=]충북 괴산군 소수면 길선리  50753 ]
[zipcode=]충북 괴산군 소수면 몽촌리  50754 ]
[zipcode=]충북 괴산군 소수면 소암리  50755 ]
[zipcode=]충북 괴산군 소수면 수리  50756 ]
[zipcode=]충북 괴산군 소수면 아성리  50757 ]
[zipcode=]충북 괴산군 소수면 옥현리  50758 ]
[zipcode=]충북 괴산군 소수면 입암리  50759 ]
[zipcode=]충북 괴산군 소수면  50760 ]
[zipcode=]충북 괴산군 연풍면 갈금리  50761 ]
[zipcode=]충북 괴산군 연풍면 괴정리  50762 ]
[zipcode=]충북 괴산군 연풍면 교촌리  50763 ]
[zipcode=]충북 괴산군 연풍면 배상리  50764 ]
[zipcode=]충북 괴산군 연풍면 분지리  50765 ]
[zipcode=]충북 괴산군 연풍면 삼풍리  50766 ]
[zipcode=]충북 괴산군 연풍면 원풍리  50767 ]
[zipcode=]충북 괴산군 연풍면 유상리  50768 ]
[zipcode=]충북 괴산군 연풍면 유하리  50769 ]
[zipcode=]충북 괴산군 연풍면 율전리  50770 ]
[zipcode=]충북 괴산군 연풍면 적석리  50771 ]
[zipcode=]충북 괴산군 연풍면 주진리  50772 ]
[zipcode=]충북 괴산군 연풍면 행정리  50773 ]
[zipcode=]충북 괴산군 연풍면 행촌리  50774 ]
[zipcode=]충북 괴산군 연풍면 홍문리  50775 ]
[zipcode=]충북 괴산군 연풍면  50776 ]
[zipcode=]충북 괴산군 장연면 광진리  50777 ]
[zipcode=]충북 괴산군 장연면 방곡리  50778 ]
[zipcode=]충북 괴산군 장연면 석산리  50779 ]
[zipcode=]충북 괴산군 장연면 송덕리  50780 ]
[zipcode=]충북 괴산군 장연면 오가리  50781 ]
[zipcode=]충북 괴산군 장연면 장암리  50782 ]
[zipcode=]충북 괴산군 장연면 조곡리  50783 ]
[zipcode=]충북 괴산군 장연면 추점리  50784 ]
[zipcode=]충북 괴산군 장연면  50785 ]
[zipcode=]충북 괴산군 청안면 금신리  50786 ]
[zipcode=]충북 괴산군 청안면 문당리  50787 ]
[zipcode=]충북 괴산군 청안면 문방리  50788 ]
[zipcode=]충북 괴산군 청안면 백봉리  50789 ]
[zipcode=]충북 괴산군 청안면 부흥리  50790 ]
[zipcode=]충북 괴산군 청안면 운곡리  50791 ]
[zipcode=]충북 괴산군 청안면 읍내리  50792 ]
[zipcode=]충북 괴산군 청안면 장암리  50793 ]
[zipcode=]충북 괴산군 청안면 조천리  50794 ]
[zipcode=]충북 괴산군 청안면 청용리  50795 ]
[zipcode=]충북 괴산군 청안면 효근리  50796 ]
[zipcode=]충북 괴산군 청안면  50797 ]
[zipcode=]충북 괴산군 청천면 강평리  50798 ]
[zipcode=]충북 괴산군 청천면 거봉리  50799 ]
[zipcode=]충북 괴산군 청천면 고성리  50800 ]
[zipcode=]충북 괴산군 청천면 관평리  50801 ]
[zipcode=]충북 괴산군 청천면 귀만리  50802 ]
[zipcode=]충북 괴산군 청천면 금평리  50803 ]
[zipcode=]충북 괴산군 청천면 대전리  50804 ]
[zipcode=]충북 괴산군 청천면 대티리  50805 ]
[zipcode=]충북 괴산군 청천면 덕평리  50806 ]
[zipcode=]충북 괴산군 청천면 도원리  50807 ]
[zipcode=]충북 괴산군 청천면 무릉리  50808 ]
[zipcode=]충북 괴산군 청천면 부성리  50809 ]
[zipcode=]충북 괴산군 청천면 사기막리  50810 ]
[zipcode=]충북 괴산군 청천면 사담리  50811 ]
[zipcode=]충북 괴산군 청천면 삼락리  50812 ]
[zipcode=]충북 괴산군 청천면 삼송리  50813 ]
[zipcode=]충북 괴산군 청천면 상신리  50814 ]
[zipcode=]충북 괴산군 청천면 선평리  50815 ]
[zipcode=]충북 괴산군 청천면 송면리  50816 ]
[zipcode=]충북 괴산군 청천면 신월리  50817 ]
[zipcode=]충북 괴산군 청천면 여사왕리  50818 ]
[zipcode=]충북 괴산군 청천면 운교리  50819 ]
[zipcode=]충북 괴산군 청천면 월문리  50820 ]
[zipcode=]충북 괴산군 청천면 이평리  50821 ]
[zipcode=]충북 괴산군 청천면 지경리  50822 ]
[zipcode=]충북 괴산군 청천면 지촌리  50823 ]
[zipcode=]충북 괴산군 청천면 청천리  50824 ]
[zipcode=]충북 괴산군 청천면 평단리  50825 ]
[zipcode=]충북 괴산군 청천면 화양리  50826 ]
[zipcode=]충북 괴산군 청천면 후영리  50827 ]
[zipcode=]충북 괴산군 청천면 후평리  50828 ]
[zipcode=]충북 괴산군 청천면  50829 ]
[zipcode=]충북 괴산군 칠성면 갈읍리  50830 ]
[zipcode=]충북 괴산군 칠성면 도정리  50831 ]
[zipcode=]충북 괴산군 칠성면 두천리  50832 ]
[zipcode=]충북 괴산군 칠성면 비도리  50833 ]
[zipcode=]충북 괴산군 칠성면 사은리  50834 ]
[zipcode=]충북 괴산군 칠성면 사평리  50835 ]
[zipcode=]충북 괴산군 칠성면 송동리  50836 ]
[zipcode=]충북 괴산군 칠성면 쌍곡리  50837 ]
[zipcode=]충북 괴산군 칠성면 외사리  50838 ]
[zipcode=]충북 괴산군 칠성면 율원리  50839 ]
[zipcode=]충북 괴산군 칠성면 율지리  50840 ]
[zipcode=]충북 괴산군 칠성면 태성리  50841 ]
[zipcode=]충북 괴산군 칠성면  50842 ]
[zipcode=]충북 단양군 단양읍 단양우체국  50843 ]
[zipcode=]충북 단양군 단양읍 고수리  50844 ]
[zipcode=]충북 단양군 단양읍 금곡리  50845 ]
[zipcode=]충북 단양군 단양읍 기촌리  50846 ]
[zipcode=]충북 단양군 단양읍 노동리  50847 ]
[zipcode=]충북 단양군 단양읍 덕상리  50848 ]
[zipcode=]충북 단양군 단양읍 도담리  50849 ]
[zipcode=]충북 단양군 단양읍 도전리  50850 ]
[zipcode=]충북 단양군 단양읍 마조리  50851 ]
[zipcode=]충북 단양군 단양읍 별곡리  50852 ]
[zipcode=]충북 단양군 단양읍 상진리  50853 ]
[zipcode=]충북 단양군 단양읍 수촌리  50854 ]
[zipcode=]충북 단양군 단양읍 심곡리  50855 ]
[zipcode=]충북 단양군 단양읍 장현리  50856 ]
[zipcode=]충북 단양군 단양읍 증도리  50857 ]
[zipcode=]충북 단양군 단양읍 천동리  50858 ]
[zipcode=]충북 단양군 단양읍 현천리  50859 ]
[zipcode=]충북 단양군 단양읍 후곡리  50860 ]
[zipcode=]충북 단양군 단양읍  50861 ]
[zipcode=]충북 단양군 매포읍 가평리  50862 ]
[zipcode=]충북 단양군 매포읍 고양리  50863 ]
[zipcode=]충북 단양군 매포읍 김산리  50864 ]
[zipcode=]충북 단양군 매포읍 도곡리  50865 ]
[zipcode=]충북 단양군 매포읍 매포리  50866 ]
[zipcode=]충북 단양군 매포읍 삼곡리  50867 ]
[zipcode=]충북 단양군 매포읍 상괴리  50868 ]
[zipcode=]충북 단양군 매포읍 상시리  50869 ]
[zipcode=]충북 단양군 매포읍 안동리  50870 ]
[zipcode=]충북 단양군 매포읍 어의곡리  50871 ]
[zipcode=]충북 단양군 매포읍 영천리  50872 ]
[zipcode=]충북 단양군 매포읍 우덕리  50873 ]
[zipcode=]충북 단양군 매포읍 평동1리  50874 ]
[zipcode=]충북 단양군 매포읍 평동2리  50875 ]
[zipcode=]충북 단양군 매포읍 평동3리  50876 ]
[zipcode=]충북 단양군 매포읍 평동4리  50877 ]
[zipcode=]충북 단양군 매포읍 평동5리  50878 ]
[zipcode=]충북 단양군 매포읍 평동6리  50879 ]
[zipcode=]충북 단양군 매포읍 평동7리  50880 ]
[zipcode=]충북 단양군 매포읍 평동8리  50881 ]
[zipcode=]충북 단양군 매포읍 평동리  50882 ]
[zipcode=]충북 단양군 매포읍 하괴리  50883 ]
[zipcode=]충북 단양군 매포읍 하시리  50884 ]
[zipcode=]충북 단양군 매포읍  50885 ]
[zipcode=]충북 단양군 가곡면 가대리  50886 ]
[zipcode=]충북 단양군 가곡면 대대리  50887 ]
[zipcode=]충북 단양군 가곡면 덕천리  50888 ]
[zipcode=]충북 단양군 가곡면 보발리  50889 ]
[zipcode=]충북 단양군 가곡면 사평리  50890 ]
[zipcode=]충북 단양군 가곡면 어의곡리  50891 ]
[zipcode=]충북 단양군 가곡면 여천리  50892 ]
[zipcode=]충북 단양군 가곡면 향산리  50893 ]
[zipcode=]충북 단양군 가곡면  50894 ]
[zipcode=]충북 단양군 단성면 가산리  50895 ]
[zipcode=]충북 단양군 단성면 고평리  50896 ]
[zipcode=]충북 단양군 단성면 대잠리  50897 ]
[zipcode=]충북 단양군 단성면 두항리  50898 ]
[zipcode=]충북 단양군 단성면 벌천리  50899 ]
[zipcode=]충북 단양군 단성면 북상리  50900 ]
[zipcode=]충북 단양군 단성면 북하리  50901 ]
[zipcode=]충북 단양군 단성면 상방리  50902 ]
[zipcode=]충북 단양군 단성면 양당리  50903 ]
[zipcode=]충북 단양군 단성면 외중방리  50904 ]
[zipcode=]충북 단양군 단성면 장회리  50905 ]
[zipcode=]충북 단양군 단성면 중방리  50906 ]
[zipcode=]충북 단양군 단성면 하방리  50907 ]
[zipcode=]충북 단양군 단성면 회산리  50908 ]
[zipcode=]충북 단양군 단성면  50909 ]
[zipcode=]충북 단양군 대강면 괴평리  50910 ]
[zipcode=]충북 단양군 대강면 남조리  50911 ]
[zipcode=]충북 단양군 대강면 남천리  50912 ]
[zipcode=]충북 단양군 대강면 당동리  50913 ]
[zipcode=]충북 단양군 대강면 덕촌리  50914 ]
[zipcode=]충북 단양군 대강면 두음리  50915 ]
[zipcode=]충북 단양군 대강면 무수천리  50916 ]
[zipcode=]충북 단양군 대강면 미노리  50917 ]
[zipcode=]충북 단양군 대강면 방곡리  50918 ]
[zipcode=]충북 단양군 대강면 사동리  50919 ]
[zipcode=]충북 단양군 대강면 사인암리  50920 ]
[zipcode=]충북 단양군 대강면 성금리  50921 ]
[zipcode=]충북 단양군 대강면 신구리  50922 ]
[zipcode=]충북 단양군 대강면 올산리  50923 ]
[zipcode=]충북 단양군 대강면 용부원리  50924 ]
[zipcode=]충북 단양군 대강면 장림리  50925 ]
[zipcode=]충북 단양군 대강면 장정리  50926 ]
[zipcode=]충북 단양군 대강면 직티리  50927 ]
[zipcode=]충북 단양군 대강면 황정리  50928 ]
[zipcode=]충북 단양군 대강면  50929 ]
[zipcode=]충북 단양군 어상천면 대전리  50930 ]
[zipcode=]충북 단양군 어상천면 덕문곡리  50931 ]
[zipcode=]충북 단양군 어상천면 방북리  50932 ]
[zipcode=]충북 단양군 어상천면 석교리  50933 ]
[zipcode=]충북 단양군 어상천면 심곡리  50934 ]
[zipcode=]충북 단양군 어상천면 연곡리  50935 ]
[zipcode=]충북 단양군 어상천면 율곡리  50936 ]
[zipcode=]충북 단양군 어상천면 임현1리  50937 ]
[zipcode=]충북 단양군 어상천면 임현2리  50938 ]
[zipcode=]충북 단양군 어상천면 임현3리  50939 ]
[zipcode=]충북 단양군 어상천면 임현리  50940 ]
[zipcode=]충북 단양군 어상천면  50941 ]
[zipcode=]충북 단양군 영춘면 남천리  50942 ]
[zipcode=]충북 단양군 영춘면 동대리  50943 ]
[zipcode=]충북 단양군 영춘면 만종리  50944 ]
[zipcode=]충북 단양군 영춘면 백자리  50945 ]
[zipcode=]충북 단양군 영춘면 별방리  50946 ]
[zipcode=]충북 단양군 영춘면 사이곡리  50947 ]
[zipcode=]충북 단양군 영춘면 사지원리  50948 ]
[zipcode=]충북 단양군 영춘면 상리  50949 ]
[zipcode=]충북 단양군 영춘면 오사리  50950 ]
[zipcode=]충북 단양군 영춘면 용진리  50951 ]
[zipcode=]충북 단양군 영춘면 유암리  50952 ]
[zipcode=]충북 단양군 영춘면 의풍리  50953 ]
[zipcode=]충북 단양군 영춘면 장발리  50954 ]
[zipcode=]충북 단양군 영춘면 하리  50955 ]
[zipcode=]충북 단양군 영춘면  50956 ]
[zipcode=]충북 단양군 적성면 각기리  50957 ]
[zipcode=]충북 단양군 적성면 기동리  50958 ]
[zipcode=]충북 단양군 적성면 대가리  50959 ]
[zipcode=]충북 단양군 적성면 상리  50960 ]
[zipcode=]충북 단양군 적성면 상원곡리  50961 ]
[zipcode=]충북 단양군 적성면 성곡리  50962 ]
[zipcode=]충북 단양군 적성면 소야리  50963 ]
[zipcode=]충북 단양군 적성면 애곡리  50964 ]
[zipcode=]충북 단양군 적성면 파랑리  50965 ]
[zipcode=]충북 단양군 적성면 하리  50966 ]
[zipcode=]충북 단양군 적성면 하원곡리  50967 ]
[zipcode=]충북 단양군 적성면 하진리  50968 ]
[zipcode=]충북 단양군 적성면 현곡리  50969 ]
[zipcode=]충북 단양군 적성면  50970 ]
[zipcode=]충북 보은군 보은읍 보은군청  50971 ]
[zipcode=]충북 보은군 보은읍 보은우체국  50972 ]
[zipcode=]충북 보은군 보은읍 강산리  50973 ]
[zipcode=]충북 보은군 보은읍 강신리  50974 ]
[zipcode=]충북 보은군 보은읍 교사리  50975 ]
[zipcode=]충북 보은군 보은읍 금굴리  50976 ]
[zipcode=]충북 보은군 보은읍 길상리  50977 ]
[zipcode=]충북 보은군 보은읍 노티리  50978 ]
[zipcode=]충북 보은군 보은읍 누청리  50979 ]
[zipcode=]충북 보은군 보은읍 대야리  50980 ]
[zipcode=]충북 보은군 보은읍 봉평리  50981 ]
[zipcode=]충북 보은군 보은읍 산성리  50982 ]
[zipcode=]충북 보은군 보은읍 삼산1리  50983 ]
[zipcode=]충북 보은군 보은읍 삼산2리  50984 ]
[zipcode=]충북 보은군 보은읍 삼산3리  50985 ]
[zipcode=]충북 보은군 보은읍 삼산4리  50986 ]
[zipcode=]충북 보은군 보은읍 삼산5리  50987 ]
[zipcode=]충북 보은군 보은읍 삼산6리  50988 ]
[zipcode=]충북 보은군 보은읍 삼산리  50989 ]
[zipcode=]충북 보은군 보은읍 성족리  50990 ]
[zipcode=]충북 보은군 보은읍 성주리  50991 ]
[zipcode=]충북 보은군 보은읍 수정리  50992 ]
[zipcode=]충북 보은군 보은읍 신함리  50993 ]
[zipcode=]충북 보은군 보은읍 어암리  50994 ]
[zipcode=]충북 보은군 보은읍 용암리  50995 ]
[zipcode=]충북 보은군 보은읍 월송리  50996 ]
[zipcode=]충북 보은군 보은읍 이평리  50997 ]
[zipcode=]충북 보은군 보은읍 장속리  50998 ]
[zipcode=]충북 보은군 보은읍 장신리  50999 ]
[zipcode=]충북 보은군 보은읍 종곡리  51000 ]
[zipcode=]충북 보은군 보은읍 죽전리  51001 ]
[zipcode=]충북 보은군 보은읍 중동리  51002 ]
[zipcode=]충북 보은군 보은읍 중초리  51003 ]
[zipcode=]충북 보은군 보은읍 지산리  51004 ]
[zipcode=]충북 보은군 보은읍 풍취리  51005 ]
[zipcode=]충북 보은군 보은읍 학림리  51006 ]
[zipcode=]충북 보은군 보은읍  51007 ]
[zipcode=]충북 보은군 내북면 대안리  51008 ]
[zipcode=]충북 보은군 내북면 도원리  51009 ]
[zipcode=]충북 보은군 내북면 동산리  51010 ]
[zipcode=]충북 보은군 내북면 두평리  51011 ]
[zipcode=]충북 보은군 내북면 법주리  51012 ]
[zipcode=]충북 보은군 내북면 봉황리  51013 ]
[zipcode=]충북 보은군 내북면 상궁리  51014 ]
[zipcode=]충북 보은군 내북면 서지리  51015 ]
[zipcode=]충북 보은군 내북면 성암리  51016 ]
[zipcode=]충북 보은군 내북면 성티리  51017 ]
[zipcode=]충북 보은군 내북면 세촌리  51018 ]
[zipcode=]충북 보은군 내북면 신궁리  51019 ]
[zipcode=]충북 보은군 내북면 아곡리  51020 ]
[zipcode=]충북 보은군 내북면 염둔리  51021 ]
[zipcode=]충북 보은군 내북면 용수리  51022 ]
[zipcode=]충북 보은군 내북면 이원리  51023 ]
[zipcode=]충북 보은군 내북면 적음리  51024 ]
[zipcode=]충북 보은군 내북면 창리  51025 ]
[zipcode=]충북 보은군 내북면 하궁리  51026 ]
[zipcode=]충북 보은군 내북면 화전리  51027 ]
[zipcode=]충북 보은군 내북면  51028 ]
[zipcode=]충북 보은군 마로면 갈전리  51029 ]
[zipcode=]충북 보은군 마로면 갈평리  51030 ]
[zipcode=]충북 보은군 마로면 관기리  51031 ]
[zipcode=]충북 보은군 마로면 기대리  51032 ]
[zipcode=]충북 보은군 마로면 변둔리  51033 ]
[zipcode=]충북 보은군 마로면 세중리  51034 ]
[zipcode=]충북 보은군 마로면 소여리  51035 ]
[zipcode=]충북 보은군 마로면 송현리  51036 ]
[zipcode=]충북 보은군 마로면 수문리  51037 ]
[zipcode=]충북 보은군 마로면 오천리  51038 ]
[zipcode=]충북 보은군 마로면 원정리  51039 ]
[zipcode=]충북 보은군 마로면 임곡리  51040 ]
[zipcode=]충북 보은군 마로면 적암리  51041 ]
[zipcode=]충북 보은군 마로면 한중리  51042 ]
[zipcode=]충북 보은군 마로면  51043 ]
[zipcode=]충북 보은군 산외면 가고리  51044 ]
[zipcode=]충북 보은군 산외면 구티리  51045 ]
[zipcode=]충북 보은군 산외면 길탕리  51046 ]
[zipcode=]충북 보은군 산외면 대원리  51047 ]
[zipcode=]충북 보은군 산외면 동화리  51048 ]
[zipcode=]충북 보은군 산외면 문암리  51049 ]
[zipcode=]충북 보은군 산외면 백석리  51050 ]
[zipcode=]충북 보은군 산외면 봉계리  51051 ]
[zipcode=]충북 보은군 산외면 산대리  51052 ]
[zipcode=]충북 보은군 산외면 신정리  51053 ]
[zipcode=]충북 보은군 산외면 아시리  51054 ]
[zipcode=]충북 보은군 산외면 어온리  51055 ]
[zipcode=]충북 보은군 산외면 오대리  51056 ]
[zipcode=]충북 보은군 산외면 원평리  51057 ]
[zipcode=]충북 보은군 산외면 이식리  51058 ]
[zipcode=]충북 보은군 산외면 장갑리  51059 ]
[zipcode=]충북 보은군 산외면 중티리  51060 ]
[zipcode=]충북 보은군 산외면 탁주리  51061 ]
[zipcode=]충북 보은군 산외면  51062 ]
[zipcode=]충북 보은군 삼승면 내망리  51063 ]
[zipcode=]충북 보은군 삼승면 달산리  51064 ]
[zipcode=]충북 보은군 삼승면 둔덕리  51065 ]
[zipcode=]충북 보은군 삼승면 상가리  51066 ]
[zipcode=]충북 보은군 삼승면 서원리  51067 ]
[zipcode=]충북 보은군 삼승면 선곡리  51068 ]
[zipcode=]충북 보은군 삼승면 송죽리  51069 ]
[zipcode=]충북 보은군 삼승면 우진리  51070 ]
[zipcode=]충북 보은군 삼승면 원남리  51071 ]
[zipcode=]충북 보은군 삼승면 천남리  51072 ]
[zipcode=]충북 보은군 삼승면 탄금리  51073 ]
[zipcode=]충북 보은군 삼승면  51074 ]
[zipcode=]충북 보은군 속리산면 갈목리  51075 ]
[zipcode=]충북 보은군 속리산면 구병리  51076 ]
[zipcode=]충북 보은군 속리산면 도화리  51077 ]
[zipcode=]충북 보은군 속리산면 만수리  51078 ]
[zipcode=]충북 보은군 속리산면 백현리  51079 ]
[zipcode=]충북 보은군 속리산면 북암리  51080 ]
[zipcode=]충북 보은군 속리산면 사내리  51081 ]
[zipcode=]충북 보은군 속리산면 삼가리  51082 ]
[zipcode=]충북 보은군 속리산면 상판리  51083 ]
[zipcode=]충북 보은군 속리산면 중판리  51084 ]
[zipcode=]충북 보은군 속리산면 하판리  51085 ]
[zipcode=]충북 보은군 속리산면  51086 ]
[zipcode=]충북 보은군 수한면 거현리  51087 ]
[zipcode=]충북 보은군 수한면 광촌리  51088 ]
[zipcode=]충북 보은군 수한면 교암리  51089 ]
[zipcode=]충북 보은군 수한면 노성리  51090 ]
[zipcode=]충북 보은군 수한면 동정리  51091 ]
[zipcode=]충북 보은군 수한면 묘서리  51092 ]
[zipcode=]충북 보은군 수한면 발산리  51093 ]
[zipcode=]충북 보은군 수한면 병원리  51094 ]
[zipcode=]충북 보은군 수한면 산척리  51095 ]
[zipcode=]충북 보은군 수한면 성리  51096 ]
[zipcode=]충북 보은군 수한면 소계리  51097 ]
[zipcode=]충북 보은군 수한면 오정리  51098 ]
[zipcode=]충북 보은군 수한면 율산리  51099 ]
[zipcode=]충북 보은군 수한면 장선리  51100 ]
