[zipcode=]경북 경산시 갑제동 한국조폐공사화폐본부  34522 ]
[zipcode=]경북 영주시 풍기읍 동부리  36747 ]
[zipcode=]경북 영주시 풍기읍 미곡리  36748 ]
[zipcode=]경북 영주시 풍기읍 백리  36749 ]
[zipcode=]경북 영주시 풍기읍 백신리  36750 ]
[zipcode=]경북 영주시 풍기읍 산법리  36751 ]
[zipcode=]경북 영주시 풍기읍 삼가리  36752 ]
[zipcode=]경북 영주시 풍기읍 서부리  36753 ]
[zipcode=]경북 영주시 풍기읍 성내1리  36754 ]
[zipcode=]경북 영주시 풍기읍 성내2리  36755 ]
[zipcode=]경북 영주시 풍기읍 성내3리  36756 ]
[zipcode=]경북 영주시 풍기읍 성내4리  36757 ]
[zipcode=]경북 영주시 풍기읍 성내리  36758 ]
[zipcode=]경북 영주시 풍기읍 수철리  36759 ]
[zipcode=]경북 영주시 풍기읍 욱금리  36760 ]
[zipcode=]경북 영주시 풍기읍 전구리  36761 ]
[zipcode=]경북 영주시 풍기읍 창락리  36762 ]
[zipcode=]경북 영주시 풍기읍  36763 ]
[zipcode=]경북 영주시 단산면 구구리  36764 ]
[zipcode=]경북 영주시 단산면 단곡1리  36765 ]
[zipcode=]경북 영주시 단산면 단곡2리  36766 ]
[zipcode=]경북 영주시 단산면 단곡3리  36767 ]
[zipcode=]경북 영주시 단산면 단곡리  36768 ]
[zipcode=]경북 영주시 단산면 동원리  36769 ]
[zipcode=]경북 영주시 단산면 마락리  36770 ]
[zipcode=]경북 영주시 단산면 병산리  36771 ]
[zipcode=]경북 영주시 단산면 사천리  36772 ]
[zipcode=]경북 영주시 단산면 옥대리  36773 ]
[zipcode=]경북 영주시 단산면 좌석리  36774 ]
[zipcode=]경북 영주시 단산면  36775 ]
[zipcode=]경북 영주시 문수면 권선리  36776 ]
[zipcode=]경북 영주시 문수면 대양리  36777 ]
[zipcode=]경북 영주시 문수면 만방리  36778 ]
[zipcode=]경북 영주시 문수면 수도리  36779 ]
[zipcode=]경북 영주시 문수면 승문리  36780 ]
[zipcode=]경북 영주시 문수면 월호리  36781 ]
[zipcode=]경북 영주시 문수면 적동리  36782 ]
[zipcode=]경북 영주시 문수면 조제리  36783 ]
[zipcode=]경북 영주시 문수면 탄산리  36784 ]
[zipcode=]경북 영주시 문수면  36785 ]
[zipcode=]경북 영주시 봉현면 노좌1리  36786 ]
[zipcode=]경북 영주시 봉현면 노좌2리  36787 ]
[zipcode=]경북 영주시 봉현면 노좌3리  36788 ]
[zipcode=]경북 영주시 봉현면 노좌리  36789 ]
[zipcode=]경북 영주시 봉현면 대촌리  36790 ]
[zipcode=]경북 영주시 봉현면 두산리  36791 ]
[zipcode=]경북 영주시 봉현면 오현1리  36792 ]
[zipcode=]경북 영주시 봉현면 오현2리  36793 ]
[zipcode=]경북 영주시 봉현면 오현3리  36794 ]
[zipcode=]경북 영주시 봉현면 오현4리  36795 ]
[zipcode=]경북 영주시 봉현면 오현리  36796 ]
[zipcode=]경북 영주시 봉현면 유전리  36797 ]
[zipcode=]경북 영주시 봉현면 하촌리  36798 ]
[zipcode=]경북 영주시 봉현면 한천리  36799 ]
[zipcode=]경북 영주시 봉현면  36800 ]
[zipcode=]경북 영주시 부석면 감곡리  36801 ]
[zipcode=]경북 영주시 부석면 남대리  36802 ]
[zipcode=]경북 영주시 부석면 노곡리  36803 ]
[zipcode=]경북 영주시 부석면 보계리  36804 ]
[zipcode=]경북 영주시 부석면 북지리  36805 ]
[zipcode=]경북 영주시 부석면 상석리  36806 ]
[zipcode=]경북 영주시 부석면 소천1리  36807 ]
[zipcode=]경북 영주시 부석면 소천2리  36808 ]
[zipcode=]경북 영주시 부석면 소천3리  36809 ]
[zipcode=]경북 영주시 부석면 소천4리  36810 ]
[zipcode=]경북 영주시 부석면 소천5리  36811 ]
[zipcode=]경북 영주시 부석면 소천6리  36812 ]
[zipcode=]경북 영주시 부석면 소천리  36813 ]
[zipcode=]경북 영주시 부석면 용암리  36814 ]
[zipcode=]경북 영주시 부석면 우곡리  36815 ]
[zipcode=]경북 영주시 부석면 임곡리  36816 ]
[zipcode=]경북 영주시 부석면  36817 ]
[zipcode=]경북 영주시 순흥면 내죽1리  36818 ]
[zipcode=]경북 영주시 순흥면 내죽2리  36819 ]
[zipcode=]경북 영주시 순흥면 내죽리  36820 ]
[zipcode=]경북 영주시 순흥면 덕현리  36821 ]
[zipcode=]경북 영주시 순흥면 배점리  36822 ]
[zipcode=]경북 영주시 순흥면 석교리  36823 ]
[zipcode=]경북 영주시 순흥면 월전리  36824 ]
[zipcode=]경북 영주시 순흥면 읍내리  36825 ]
[zipcode=]경북 영주시 순흥면 지동리  36826 ]
[zipcode=]경북 영주시 순흥면 청구리  36827 ]
[zipcode=]경북 영주시 순흥면 태장리  36828 ]
[zipcode=]경북 영주시 순흥면  36829 ]
[zipcode=]경북 영주시 안정면 내줄리  36830 ]
[zipcode=]경북 영주시 안정면 단촌리  36831 ]
[zipcode=]경북 영주시 안정면 대평리  36832 ]
[zipcode=]경북 영주시 안정면 동촌리  36833 ]
[zipcode=]경북 영주시 안정면 묵리  36834 ]
[zipcode=]경북 영주시 안정면 봉암리  36835 ]
[zipcode=]경북 영주시 안정면 생현리  36836 ]
[zipcode=]경북 영주시 안정면 신전리  36837 ]
[zipcode=]경북 영주시 안정면 안심리  36838 ]
[zipcode=]경북 영주시 안정면 여륵리  36839 ]
[zipcode=]경북 영주시 안정면 오계리  36840 ]
[zipcode=]경북 영주시 안정면 옹암리  36841 ]
[zipcode=]경북 영주시 안정면 용산리  36842 ]
[zipcode=]경북 영주시 안정면 일원리  36843 ]
[zipcode=]경북 영주시 안정면  36844 ]
[zipcode=]경북 영주시 이산면 내림리  36845 ]
[zipcode=]경북 영주시 이산면 두월리  36846 ]
[zipcode=]경북 영주시 이산면 석포리  36847 ]
[zipcode=]경북 영주시 이산면 신암리  36848 ]
[zipcode=]경북 영주시 이산면 신천리  36849 ]
[zipcode=]경북 영주시 이산면 용상리  36850 ]
[zipcode=]경북 영주시 이산면 운문리  36851 ]
[zipcode=]경북 영주시 이산면 원리  36852 ]
[zipcode=]경북 영주시 이산면 지동리  36853 ]
[zipcode=]경북 영주시 이산면  36854 ]
[zipcode=]경북 영주시 장수면 갈산리  36855 ]
[zipcode=]경북 영주시 장수면 두전리  36856 ]
[zipcode=]경북 영주시 장수면 반구리  36857 ]
[zipcode=]경북 영주시 장수면 성곡리  36858 ]
[zipcode=]경북 영주시 장수면 소룡리  36859 ]
[zipcode=]경북 영주시 장수면 파지리  36860 ]
[zipcode=]경북 영주시 장수면 호문리  36861 ]
[zipcode=]경북 영주시 장수면 화기리  36862 ]
[zipcode=]경북 영주시 장수면  36863 ]
[zipcode=]경북 영주시 평은면 강동1리  36864 ]
[zipcode=]경북 영주시 평은면 강동2리  36865 ]
[zipcode=]경북 영주시 평은면 강동리  36866 ]
[zipcode=]경북 영주시 평은면 금광1리  36867 ]
[zipcode=]경북 영주시 평은면 금광2리  36868 ]
[zipcode=]경북 영주시 평은면 금광3리  36869 ]
[zipcode=]경북 영주시 평은면 금광리  36870 ]
[zipcode=]경북 영주시 평은면 오운리  36871 ]
[zipcode=]경북 영주시 평은면 용혈리  36872 ]
[zipcode=]경북 영주시 평은면 지곡리  36873 ]
[zipcode=]경북 영주시 평은면 천본리  36874 ]
[zipcode=]경북 영주시 평은면 평은리  36875 ]
[zipcode=]경북 영주시 평은면  36876 ]
[zipcode=]경북 영주시 영주우체국사서함  36877 ]
[zipcode=]경북 영천시 과전동  36878 ]
[zipcode=]경북 영천시 괴연동  36879 ]
[zipcode=]경북 영천시 교촌동  36880 ]
[zipcode=]경북 영천시 금노동  36881 ]
[zipcode=]경북 영천시 녹전동  36882 ]
[zipcode=]경북 영천시 대전동  36883 ]
[zipcode=]경북 영천시 도동  36884 ]
[zipcode=]경북 영천시 도남동  36885 ]
[zipcode=]경북 영천시 도림동  36886 ]
[zipcode=]경북 영천시 망정동 주공아파트  36887 ]
[zipcode=]경북 영천시 망정동 창신아파트  36888 ]
[zipcode=]경북 영천시 망정동 청솔아파트 (101∼103동) 36889 ]
[zipcode=]경북 영천시 망정동 청호아파트 (101∼103동) 36890 ]
[zipcode=]경북 영천시 망정동  36891 ]
[zipcode=]경북 영천시 매산동  36892 ]
[zipcode=]경북 영천시 문내동  36893 ]
[zipcode=]경북 영천시 문외동 무궁화타운  36894 ]
[zipcode=]경북 영천시 문외동 영천시청  36895 ]
[zipcode=]경북 영천시 문외동  36896 ]
[zipcode=]경북 영천시 범어동  36897 ]
[zipcode=]경북 영천시 본촌동  36898 ]
[zipcode=]경북 영천시 봉동  36899 ]
[zipcode=]경북 영천시 서산동  36900 ]
[zipcode=]경북 영천시 성내동 1∼200 36901 ]
[zipcode=]경북 영천시 성내동 201∼300 36902 ]
[zipcode=]경북 영천시 성내동  36903 ]
[zipcode=]경북 영천시 신기동  36904 ]
[zipcode=]경북 영천시 쌍계동  36905 ]
[zipcode=]경북 영천시 야사동 문화아파트  36906 ]
[zipcode=]경북 영천시 야사동 우방아파트  36907 ]
[zipcode=]경북 영천시 야사동 주공아파트  36908 ]
[zipcode=]경북 영천시 야사동 청구아파트  36909 ]
[zipcode=]경북 영천시 야사동 1∼300 36910 ]
[zipcode=]경북 영천시 야사동 301∼600 36911 ]
[zipcode=]경북 영천시 야사동  36912 ]
[zipcode=]경북 영천시 언하동  36913 ]
[zipcode=]경북 영천시 오미동  36914 ]
[zipcode=]경북 영천시 오수동  36915 ]
[zipcode=]경북 영천시 완산동 농협중앙회영천시지부  36916 ]
[zipcode=]경북 영천시 완산동 영천세무서  36917 ]
[zipcode=]경북 영천시 완산동 영천우체국  36918 ]
[zipcode=]경북 영천시 완산동 청구하이츠아파트  36919 ]
[zipcode=]경북 영천시 완산동 1∼988 36920 ]
[zipcode=]경북 영천시 완산동 989∼1300 36921 ]
[zipcode=]경북 영천시 완산동  36922 ]
[zipcode=]경북 영천시 작산동  36923 ]
[zipcode=]경북 영천시 조교동  36924 ]
[zipcode=]경북 영천시 창구동 영천등기소  36925 ]
[zipcode=]경북 영천시 창구동  36926 ]
[zipcode=]경북 영천시 채신동  36927 ]
[zipcode=]경북 영천시 화룡동 영천교육지원청  36928 ]
[zipcode=]경북 영천시 화룡동  36929 ]
[zipcode=]경북 영천시 금호읍 관정리  36930 ]
[zipcode=]경북 영천시 금호읍 교대리  36931 ]
[zipcode=]경북 영천시 금호읍 교대리 금호우방타운  36932 ]
[zipcode=]경북 영천시 금호읍 구암리  36933 ]
[zipcode=]경북 영천시 금호읍 남성리  36934 ]
[zipcode=]경북 영천시 금호읍 냉천리  36935 ]
[zipcode=]경북 영천시 금호읍 대곡리  36936 ]
[zipcode=]경북 영천시 금호읍 대미리  36937 ]
[zipcode=]경북 영천시 금호읍 덕성리  36938 ]
[zipcode=]경북 영천시 금호읍 봉죽리  36939 ]
[zipcode=]경북 영천시 금호읍 삼호1리  36940 ]
[zipcode=]경북 영천시 금호읍 삼호2리  36941 ]
[zipcode=]경북 영천시 금호읍 삼호리  36942 ]
[zipcode=]경북 영천시 금호읍 석섬리  36943 ]
[zipcode=]경북 영천시 금호읍 성천리  36944 ]
[zipcode=]경북 영천시 금호읍 신대리  36945 ]
[zipcode=]경북 영천시 금호읍 신월리  36946 ]
[zipcode=]경북 영천시 금호읍 약남리  36947 ]
[zipcode=]경북 영천시 금호읍 어은리  36948 ]
[zipcode=]경북 영천시 금호읍 오계리  36949 ]
[zipcode=]경북 영천시 금호읍 원기리  36950 ]
[zipcode=]경북 영천시 금호읍 원제리  36951 ]
[zipcode=]경북 영천시 금호읍 원제리 윤성모닝타운  36952 ]
[zipcode=]경북 영천시 금호읍 호남리  36953 ]
[zipcode=]경북 영천시 금호읍 황정리  36954 ]
[zipcode=]경북 영천시 금호읍  36955 ]
[zipcode=]경북 영천시 고경면 가수리  36956 ]
[zipcode=]경북 영천시 고경면 고도리  36957 ]
[zipcode=]경북 영천시 고경면 논실리  36958 ]
[zipcode=]경북 영천시 고경면 단포리  36959 ]
[zipcode=]경북 영천시 고경면 대성리  36960 ]
[zipcode=]경북 영천시 고경면 대의리  36961 ]
[zipcode=]경북 영천시 고경면 덕암리  36962 ]
[zipcode=]경북 영천시 고경면 덕정리  36963 ]
[zipcode=]경북 영천시 고경면 도암리  36964 ]
[zipcode=]경북 영천시 고경면 동도리  36965 ]
[zipcode=]경북 영천시 고경면 부리  36966 ]
[zipcode=]경북 영천시 고경면 삼귀리  36967 ]
[zipcode=]경북 영천시 고경면 삼산리  36968 ]
[zipcode=]경북 영천시 고경면 삼포리  36969 ]
[zipcode=]경북 영천시 고경면 상덕리  36970 ]
[zipcode=]경북 영천시 고경면 상리리  36971 ]
[zipcode=]경북 영천시 고경면 석계리  36972 ]
[zipcode=]경북 영천시 고경면 오룡리  36973 ]
[zipcode=]경북 영천시 고경면 오류리  36974 ]
[zipcode=]경북 영천시 고경면 용전리  36975 ]
[zipcode=]경북 영천시 고경면 전사1리  36976 ]
[zipcode=]경북 영천시 고경면 전사2리  36977 ]
[zipcode=]경북 영천시 고경면 전사리  36978 ]
[zipcode=]경북 영천시 고경면 차당리  36979 ]
[zipcode=]경북 영천시 고경면 창상리  36980 ]
[zipcode=]경북 영천시 고경면 창하리  36981 ]
[zipcode=]경북 영천시 고경면 창하리 사서함 135 36982 ]
[zipcode=]경북 영천시 고경면 청정리  36983 ]
[zipcode=]경북 영천시 고경면 초일리  36984 ]
[zipcode=]경북 영천시 고경면 칠전리  36985 ]
[zipcode=]경북 영천시 고경면 파계리  36986 ]
[zipcode=]경북 영천시 고경면 학리  36987 ]
[zipcode=]경북 영천시 고경면 해선리  36988 ]
[zipcode=]경북 영천시 고경면  36989 ]
[zipcode=]경북 영천시 대창면 강회리  36990 ]
[zipcode=]경북 영천시 대창면 구지리  36991 ]
[zipcode=]경북 영천시 대창면 대재리  36992 ]
[zipcode=]경북 영천시 대창면 대창리  36993 ]
[zipcode=]경북 영천시 대창면 병암리  36994 ]
[zipcode=]경북 영천시 대창면 사리리  36995 ]
[zipcode=]경북 영천시 대창면 신광리  36996 ]
[zipcode=]경북 영천시 대창면 어방리  36997 ]
[zipcode=]경북 영천시 대창면 오길리  36998 ]
[zipcode=]경북 영천시 대창면 용전리  36999 ]
[zipcode=]경북 영천시 대창면 용호리  37000 ]
[zipcode=]경북 영천시 대창면 운천리  37001 ]
[zipcode=]경북 영천시 대창면 조곡리  37002 ]
[zipcode=]경북 영천시 대창면 직천리  37003 ]
[zipcode=]경북 영천시 대창면  37004 ]
[zipcode=]경북 영천시 북안면 고지리  37005 ]
[zipcode=]경북 영천시 북안면 관리  37006 ]
[zipcode=]경북 영천시 북안면 내포리  37007 ]
[zipcode=]경북 영천시 북안면 당리  37008 ]
[zipcode=]경북 영천시 북안면 도유리  37009 ]
[zipcode=]경북 영천시 북안면 도천리  37010 ]
[zipcode=]경북 영천시 북안면 명주리  37011 ]
[zipcode=]경북 영천시 북안면 반계리  37012 ]
[zipcode=]경북 영천시 북안면 반정1리  37013 ]
[zipcode=]경북 영천시 북안면 반정2리  37014 ]
[zipcode=]경북 영천시 북안면 반정3리  37015 ]
[zipcode=]경북 영천시 북안면 반정리  37016 ]
[zipcode=]경북 영천시 북안면 북리  37017 ]
[zipcode=]경북 영천시 북안면 상리  37018 ]
[zipcode=]경북 영천시 북안면 서당리  37019 ]
[zipcode=]경북 영천시 북안면 송포리  37020 ]
[zipcode=]경북 영천시 북안면 신대리  37021 ]
[zipcode=]경북 영천시 북안면 신리  37022 ]
[zipcode=]경북 영천시 북안면 신촌리  37023 ]
[zipcode=]경북 영천시 북안면 옥천리  37024 ]
[zipcode=]경북 영천시 북안면 용계리  37025 ]
[zipcode=]경북 영천시 북안면 원당리  37026 ]
[zipcode=]경북 영천시 북안면 유상리  37027 ]
[zipcode=]경북 영천시 북안면 유하리  37028 ]
[zipcode=]경북 영천시 북안면 임포리  37029 ]
[zipcode=]경북 영천시 북안면 자포리  37030 ]
[zipcode=]경북 영천시 북안면 효리  37031 ]
[zipcode=]경북 영천시 북안면  37032 ]
[zipcode=]경북 영천시 신녕면 가천리  37033 ]
[zipcode=]경북 영천시 신녕면 매양리  37034 ]
[zipcode=]경북 영천시 신녕면 부산리  37035 ]
[zipcode=]경북 영천시 신녕면 신덕리  37036 ]
[zipcode=]경북 영천시 신녕면 연정리  37037 ]
[zipcode=]경북 영천시 신녕면 완전리  37038 ]
[zipcode=]경북 영천시 신녕면 왕산리  37039 ]
[zipcode=]경북 영천시 신녕면 치산리  37040 ]
[zipcode=]경북 영천시 신녕면 화남리  37041 ]
[zipcode=]경북 영천시 신녕면 화서리  37042 ]
[zipcode=]경북 영천시 신녕면 화성리  37043 ]
[zipcode=]경북 영천시 신녕면  37044 ]
[zipcode=]경북 영천시 임고면 고천리  37045 ]
[zipcode=]경북 영천시 임고면 금대리  37046 ]
[zipcode=]경북 영천시 임고면 덕연리  37047 ]
[zipcode=]경북 영천시 임고면 매호리  37048 ]
[zipcode=]경북 영천시 임고면 사리  37049 ]
[zipcode=]경북 영천시 임고면 삼매리  37050 ]
[zipcode=]경북 영천시 임고면 선원1리  37051 ]
[zipcode=]경북 영천시 임고면 선원2리  37052 ]
[zipcode=]경북 영천시 임고면 선원리  37053 ]
[zipcode=]경북 영천시 임고면 수성리  37054 ]
[zipcode=]경북 영천시 임고면 양평리  37055 ]
[zipcode=]경북 영천시 임고면 양항리  37056 ]
[zipcode=]경북 영천시 임고면 우항리  37057 ]
[zipcode=]경북 영천시 임고면 평천리  37058 ]
[zipcode=]경북 영천시 임고면 황강리  37059 ]
[zipcode=]경북 영천시 임고면 효1리  37060 ]
[zipcode=]경북 영천시 임고면 효2리  37061 ]
[zipcode=]경북 영천시 임고면 효리  37062 ]
[zipcode=]경북 영천시 임고면  37063 ]
[zipcode=]경북 영천시 자양면 노항리  37064 ]
[zipcode=]경북 영천시 자양면 도일리  37065 ]
[zipcode=]경북 영천시 자양면 보현리  37066 ]
[zipcode=]경북 영천시 자양면 삼귀리  37067 ]
[zipcode=]경북 영천시 자양면 성곡리  37068 ]
[zipcode=]경북 영천시 자양면 신방리  37069 ]
[zipcode=]경북 영천시 자양면 용산리  37070 ]
[zipcode=]경북 영천시 자양면 용화리  37071 ]
[zipcode=]경북 영천시 자양면 충효1리  37072 ]
[zipcode=]경북 영천시 자양면 충효2리  37073 ]
[zipcode=]경북 영천시 자양면 충효3리  37074 ]
[zipcode=]경북 영천시 자양면 충효리  37075 ]
[zipcode=]경북 영천시 자양면  37076 ]
[zipcode=]경북 영천시 청통면 계지리  37077 ]
[zipcode=]경북 영천시 청통면 계포리  37078 ]
[zipcode=]경북 영천시 청통면 대평리  37079 ]
[zipcode=]경북 영천시 청통면 보성리  37080 ]
[zipcode=]경북 영천시 청통면 송천리  37081 ]
[zipcode=]경북 영천시 청통면 신덕리  37082 ]
[zipcode=]경북 영천시 청통면 신원리  37083 ]
[zipcode=]경북 영천시 청통면 신학리  37084 ]
[zipcode=]경북 영천시 청통면 애련리  37085 ]
[zipcode=]경북 영천시 청통면 용천리  37086 ]
[zipcode=]경북 영천시 청통면 우천리  37087 ]
[zipcode=]경북 영천시 청통면 원촌리  37088 ]
[zipcode=]경북 영천시 청통면 죽정리  37089 ]
[zipcode=]경북 영천시 청통면 치일1리  37090 ]
[zipcode=]경북 영천시 청통면 치일2리  37091 ]
[zipcode=]경북 영천시 청통면 치일리  37092 ]
[zipcode=]경북 영천시 청통면 호당리  37093 ]
[zipcode=]경북 영천시 청통면  37094 ]
[zipcode=]경북 영천시 화남면 구전리  37095 ]
[zipcode=]경북 영천시 화남면 귀호리  37096 ]
[zipcode=]경북 영천시 화남면 금호리  37097 ]
[zipcode=]경북 영천시 화남면 대천리  37098 ]
[zipcode=]경북 영천시 화남면 사천리  37099 ]
[zipcode=]경북 영천시 화남면 삼창리  37100 ]
[zipcode=]경북 영천시 화남면 선천리  37101 ]
[zipcode=]경북 영천시 화남면 신호리  37102 ]
[zipcode=]경북 영천시 화남면 안천리  37103 ]
[zipcode=]경북 영천시 화남면 온천리  37104 ]
[zipcode=]경북 영천시 화남면 용계리  37105 ]
[zipcode=]경북 영천시 화남면 월곡리  37106 ]
[zipcode=]경북 영천시 화남면 죽곡리  37107 ]
[zipcode=]경북 영천시 화남면  37108 ]
[zipcode=]경북 영천시 화북면 공덕리  37109 ]
[zipcode=]경북 영천시 화북면 법화리  37110 ]
[zipcode=]경북 영천시 화북면 상송리  37111 ]
[zipcode=]경북 영천시 화북면 오동리  37112 ]
[zipcode=]경북 영천시 화북면 오산리  37113 ]
[zipcode=]경북 영천시 화북면 옥계리  37114 ]
[zipcode=]경북 영천시 화북면 용소리  37115 ]
[zipcode=]경북 영천시 화북면 입석리  37116 ]
[zipcode=]경북 영천시 화북면 자천리  37117 ]
[zipcode=]경북 영천시 화북면 정각리  37118 ]
[zipcode=]경북 영천시 화북면 죽전리  37119 ]
[zipcode=]경북 영천시 화북면 하송리  37120 ]
[zipcode=]경북 영천시 화북면 횡계리  37121 ]
[zipcode=]경북 영천시 화북면  37122 ]
[zipcode=]경북 영천시 화산면 가상리  37123 ]
[zipcode=]경북 영천시 화산면 당곡리  37124 ]
[zipcode=]경북 영천시 화산면 당지리  37125 ]
[zipcode=]경북 영천시 화산면 대기리  37126 ]
[zipcode=]경북 영천시 화산면 대안리  37127 ]
[zipcode=]경북 영천시 화산면 덕암리  37128 ]
[zipcode=]경북 영천시 화산면 부계리  37129 ]
[zipcode=]경북 영천시 화산면 삼부리  37130 ]
[zipcode=]경북 영천시 화산면 석촌리  37131 ]
[zipcode=]경북 영천시 화산면 암기리  37132 ]
[zipcode=]경북 영천시 화산면 연계리 1∼250 37133 ]
[zipcode=]경북 영천시 화산면 연계리 251∼700 37134 ]
[zipcode=]경북 영천시 화산면 용평리 1∼100 37135 ]
[zipcode=]경북 영천시 화산면 용평리 101∼700 37136 ]
[zipcode=]경북 영천시 화산면 유성리 1∼1050 37137 ]
[zipcode=]경북 영천시 화산면 유성리 1051∼1700 37138 ]
[zipcode=]경북 영천시 화산면 화산리  37139 ]
[zipcode=]경북 영천시 화산면 효정리  37140 ]
[zipcode=]경북 영천시 화산면  37141 ]
[zipcode=]경북 영천시 영천우체국사서함  37142 ]
[zipcode=]경북 포항시 남구 괴동동 (주)포스코건설  37143 ]
[zipcode=]경북 포항시 남구 괴동동 대한통운  37144 ]
[zipcode=]경북 포항시 남구 괴동동 삼일(주)  37145 ]
[zipcode=]경북 포항시 남구 괴동동 한중(주)  37146 ]
[zipcode=]경북 포항시 남구 괴동동  37147 ]
[zipcode=]경북 포항시 남구 대도동 남구청  37148 ]
[zipcode=]경북 포항시 남구 대도동 1∼68 37149 ]
[zipcode=]경북 포항시 남구 대도동 69∼121 37150 ]
[zipcode=]경북 포항시 남구 대도동 122∼174 37151 ]
[zipcode=]경북 포항시 남구 대도동 175∼651 37152 ]
[zipcode=]경북 포항시 남구 대도동  37153 ]
[zipcode=]경북 포항시 남구 대잠동 그린파크아파트 (101∼106동) 37154 ]
[zipcode=]경북 포항시 남구 대잠동 이동대우아파트 (101∼104동) 37155 ]
[zipcode=]경북 포항시 남구 대잠동 이동우방파크빌아파트 (101∼105동) 37156 ]
[zipcode=]경북 포항시 남구 대잠동 이동현대홈타운아파트 (101∼114동) 37157 ]
[zipcode=]경북 포항시 남구 대잠동 포항문화방송  37158 ]
[zipcode=]경북 포항시 남구 대잠동 포항시청  37159 ]
[zipcode=]경북 포항시 남구 대잠동 1∼670 37160 ]
[zipcode=]경북 포항시 남구 대잠동 671∼1000 37161 ]
[zipcode=]경북 포항시 남구 대잠동  37162 ]
[zipcode=]경북 포항시 남구 동촌동 (주)포스코  37163 ]
[zipcode=]경북 포항시 남구 동촌동  37164 ]
[zipcode=]경북 포항시 남구 상도동 포항우체국  37165 ]
[zipcode=]경북 포항시 남구 상도동 한국방송공사포항방송국  37166 ]
[zipcode=]경북 포항시 남구 상도동 1∼135 37167 ]
[zipcode=]경북 포항시 남구 상도동 136∼680 37168 ]
[zipcode=]경북 포항시 남구 상도동  37169 ]
[zipcode=]경북 포항시 남구 송내동 현대제철주식회사  37170 ]
[zipcode=]경북 포항시 남구 송내동  37171 ]
[zipcode=]경북 포항시 남구 송도동 1∼435 37172 ]
[zipcode=]경북 포항시 남구 송도동 436∼475 37173 ]
[zipcode=]경북 포항시 남구 송도동 476∼520 37174 ]
[zipcode=]경북 포항시 남구 송도동 산1 37175 ]
[zipcode=]경북 포항시 남구 송도동  37176 ]
[zipcode=]경북 포항시 남구 송정동  37177 ]
[zipcode=]경북 포항시 남구 이동 그린빌명품아파트  37178 ]
[zipcode=]경북 포항시 남구 이동  37179 ]
[zipcode=]경북 포항시 남구 인덕동 우방신세계1차아파트 (101∼106동) 37180 ]
[zipcode=]경북 포항시 남구 인덕동 1∼162 37181 ]
[zipcode=]경북 포항시 남구 인덕동 163∼400 37182 ]
[zipcode=]경북 포항시 남구 인덕동  37183 ]
[zipcode=]경북 포항시 남구 일월동 사서함 209-(107∼131) 37184 ]
[zipcode=]경북 포항시 남구 일월동  37185 ]
[zipcode=]경북 포항시 남구 장흥동 대신공업(주)  37186 ]
[zipcode=]경북 포항시 남구 장흥동 동양석판  37187 ]
[zipcode=]경북 포항시 남구 장흥동 삼화화학공업  37188 ]
[zipcode=]경북 포항시 남구 장흥동 세아제강  37189 ]
[zipcode=]경북 포항시 남구 장흥동 제철세라믹  37190 ]
[zipcode=]경북 포항시 남구 장흥동 포스코강판주식회사  37191 ]
[zipcode=]경북 포항시 남구 장흥동 (주)포스코플랜텍  37192 ]
[zipcode=]경북 포항시 남구 장흥동  37193 ]
[zipcode=]경북 포항시 남구 지곡동 교수아파트 (4∼9동) 37194 ]
[zipcode=]경북 포항시 남구 지곡동 낙원아파트  37195 ]
[zipcode=]경북 포항시 남구 지곡동 지곡그린빌라 (301∼362동) 37196 ]
[zipcode=]경북 포항시 남구 지곡동 효자그린1차아파트  37197 ]
[zipcode=]경북 포항시 남구 지곡동 효자그린2차아파트  37198 ]
[zipcode=]경북 포항시 남구 지곡동 1∼945 37199 ]
[zipcode=]경북 포항시 남구 지곡동 946∼999 37200 ]
[zipcode=]경북 포항시 남구 지곡동  37201 ]
[zipcode=]경북 포항시 남구 청림동 사서함 209 37202 ]
[zipcode=]경북 포항시 남구 청림동 진달래아파트 (가∼바동) 37203 ]
[zipcode=]경북 포항시 남구 청림동 한진기업  37204 ]
[zipcode=]경북 포항시 남구 청림동 해병아파트  37205 ]
[zipcode=]경북 포항시 남구 청림동 1∼565 37206 ]
[zipcode=]경북 포항시 남구 청림동 566∼1500 37207 ]
[zipcode=]경북 포항시 남구 청림동  37208 ]
[zipcode=]경북 포항시 남구 해도동 1∼27 37209 ]
[zipcode=]경북 포항시 남구 해도동 28∼32 37210 ]
[zipcode=]경북 포항시 남구 해도동 33∼44 37211 ]
[zipcode=]경북 포항시 남구 해도동 45∼85 37212 ]
[zipcode=]경북 포항시 남구 해도동 86∼97 37213 ]
[zipcode=]경북 포항시 남구 해도동 98∼411 37214 ]
[zipcode=]경북 포항시 남구 해도동 412∼513 37215 ]
[zipcode=]경북 포항시 남구 해도동 514∼515 37216 ]
[zipcode=]경북 포항시 남구 해도동  37217 ]
[zipcode=]경북 포항시 남구 호동 (주)포스렉  37218 ]
[zipcode=]경북 포항시 남구 호동 (주)포스코아이씨티  37219 ]
[zipcode=]경북 포항시 남구 호동 KIC(주)  37220 ]
[zipcode=]경북 포항시 남구 호동 동방금속(주)  37221 ]
[zipcode=]경북 포항시 남구 호동 동서화학공업  37222 ]
[zipcode=]경북 포항시 남구 호동  37223 ]
